Outlet_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Visibility,Item_Frequency,Item_Type,Item_Identifier_Type,Outlet_Status,Calorie_Count_per_givenwt
1,-1.6807635516974035,6,0,1,0.06375108,1,9,2,1,0.0
1,0.12260751071050717,9,1,2,0.053372768,1,3,1,0,5.32
3,-1.6621236360981748,5,1,0,0.04586701,1,5,1,0,3.3175
0,0.31418388807097747,0,0,0,0.083406302,1,9,2,0,0.0
3,0.574512741908272,5,1,0,0.029023048,1,3,1,0,7.756
1,0.3194858232337016,9,1,2,0.041837331,0,0,1,0,7.363999999999999
0,1.7614171223289345,0,0,0,0.030815427,1,5,1,0,6.075
0,-0.3357348709592505,4,0,2,0.072762086,1,6,1,0,8.19
0,1.3478853663740489,0,0,0,0.132596101,1,5,1,0,9.125
1,-0.5241134587161472,2,0,1,0.07051345459990613,1,5,1,1,3.9525
2,-0.174412781038187,3,1,0,0.061434045,1,9,2,1,0.0
1,0.0017214703266276079,2,0,1,0.058676973,1,4,1,1,3.2545
1,0.1523981186573957,1,2,0,0.057373797,0,10,1,0,16.874
1,-0.24573308256668144,1,2,0,0.173973652,0,0,1,0,12.739999999999998
1,1.2823722507656439,2,0,1,0.05587277,0,1,1,1,17.625
1,1.5400501370215762,9,1,2,0.019064377,1,13,1,0,72.2
1,0.41369590274457324,8,0,2,0.080640478,1,9,2,0,0.0
1,0.37864493089980705,6,0,1,0.120474481,1,9,2,1,0.0
1,0.8549972636168893,9,1,2,0.071958197,1,4,1,0,3.9444999999999997
2,1.8934538550604747,3,1,0,0.036057562,1,6,1,1,10.53
1,0.7240541749297716,1,2,0,0.10002967225,1,9,2,0,0.0
1,-0.7892389969588021,8,0,2,0.043238822,0,0,1,0,10.85
1,-1.3762540366971403,6,0,1,0.1575039298,1,4,1,1,2.4495
3,0.45682449112796597,5,1,0,0.13956116,0,12,1,0,10.944600000000001
1,-0.46608956635931054,2,0,1,0.081562686,0,0,1,1,21.84
3,1.0726612085633096,5,1,0,0.015385857,1,5,1,0,6.075
0,-0.6305678746191009,0,0,0,0.02596634275,0,10,1,0,16.874
1,0.7991190880840504,2,0,1,0.076474728,1,5,1,1,6.325
2,-1.32942240795281,3,1,0,0.118661426,0,11,2,1,0.0
1,-1.5642105162263655,1,2,0,0.058346234,1,13,1,0,71.25
0,-0.5187699522885765,4,0,2,0.028382853,0,8,2,0,0.0
1,-0.7535164892972852,2,0,1,0.023585598,1,6,1,1,13.39
1,0.8826837260046263,9,1,2,0.011934645,1,9,2,0,0.0
1,-1.2139214452613478,8,0,2,0.010630949,0,10,1,0,8.8231
3,0.5840229681892992,5,1,0,0.043978369,1,6,1,0,8.515
1,-1.0883218630018012,2,0,1,0.009463757,0,0,1,1,17.22
1,-0.7594068177470671,1,2,0,0.115233813,1,5,1,0,4.5325
3,0.9316610715729546,5,1,0,0.05336162,1,3,1,0,4.324000000000001
1,-0.7780051620814492,1,2,0,0.074177667,1,9,2,0,0.0
1,-0.4368042091697868,8,0,2,0.070780558,0,14,0,0,2.3409
0,-0.1696160966328274,0,0,0,0.10303626683333333,1,6,1,0,3.9715000000000003
1,-1.6620820648333283,9,1,2,0.026643448,0,10,1,0,19.5195
1,0.1289615186528073,2,0,1,0.008326735,1,4,1,1,5.1290000000000004
1,0.09593154983749924,9,1,2,0.146527359,0,12,1,0,35.394000000000005
1,0.9108754391497283,8,0,2,0.020697723,0,1,1,0,31.25
1,0.7788387064181885,7,0,1,0.030556922,0,8,2,1,0.0
0,0.7565373217228687,0,0,0,0.117026714,0,0,1,0,23.38
2,-0.025418170038898385,3,1,0,0.08152738,0,11,2,1,0.0
1,-0.9962575003149272,8,0,2,0.028982682,1,6,1,0,4.394
1,0.05444342752073998,1,2,0,0.159587755,1,6,1,0,8.775
1,0.3722493516926605,2,0,1,0.121178848,1,9,2,1,0.0
2,0.344562889304923,3,1,0,0.083698962,1,9,2,1,0.0
1,-0.6928416293590864,2,0,1,0.034668802,0,8,2,1,0.0
1,0.9002715688242796,8,0,2,0.090562192,1,9,2,0,0.0
1,1.4245076030652677,1,2,0,0.056825065,1,13,1,0,65.55
1,-0.6183651094918654,9,1,2,0.021362955,1,6,1,0,13.552500000000002
1,-0.7609641412840074,6,0,1,0.102704495,1,3,1,1,16.2
1,0.1369975639265869,9,1,2,0.025169703,0,8,2,0,0.0
1,-0.7104294721787392,6,0,1,0.016650191,1,5,1,1,8.1
1,0.23810847340196964,6,0,1,0.086764795,1,13,1,1,50.80125
1,0.17638154068419507,2,0,1,0.015858893,1,13,1,1,88.35000000000001
0,-0.4256950880869733,4,0,2,0.018275994,1,3,1,0,5.140000000000001
1,-1.284231245275113,8,0,2,0.038454076,1,4,1,0,3.1832000000000003
1,1.1722563657665988,2,0,1,0.153011599,1,5,1,1,3.735
1,0.2354575058206076,9,1,2,0.033489979,0,10,1,0,13.299000000000001
0,0.7975201932822639,0,0,0,0.127283051,1,5,1,0,6.325
0,-0.8455808519841591,4,0,2,0.113669629,1,3,1,0,15.76
2,0.18538651620785726,3,1,0,0.02492239,0,14,0,1,9.1035
1,-1.3007254440503437,2,0,1,0.01903743,1,6,1,1,10.205
0,-1.32942240795281,4,0,2,0.014470060000000002,1,13,1,0,64.8375
1,-0.7769946605667202,9,1,2,0.054637635,0,10,1,0,16.159
2,1.7790049651485877,3,1,0,0.018485511,1,5,1,1,6.075
1,-1.57586645933139,2,0,1,0.044472637,1,5,1,1,8.1
2,-0.3085952305937243,3,1,0,0.055451725,1,3,1,1,6.248
0,-0.5523051718612491,4,0,2,0.051643608,1,13,1,0,24.58125
1,0.3333290544275703,2,0,1,0.041851756,0,14,0,1,8.976
1,0.036855584701086734,6,0,1,0.0515529634,1,4,1,1,8.51
2,0.19657877982036392,3,1,0,0.003606726,0,7,0,1,14.7
0,0.9364577559783143,4,0,2,0.093883945,1,3,1,0,4.324000000000001
1,-0.6598948030734711,6,0,1,0.024521191,0,1,1,1,16.375
1,-0.7396732581034166,8,0,2,0.123115764,1,13,1,0,29.948749999999997
1,-0.3074600152844558,6,0,1,0.008644894,1,9,2,1,0.0
1,-1.500296295419747,8,0,2,0.097313129,1,5,1,0,9.5
1,0.1077122067370629,1,2,0,0.038978526,1,13,1,0,85.5
1,-0.3122566996898156,2,0,1,0.036344721,1,6,1,1,13.325000000000001
1,-0.5305506091881401,2,0,1,0.069514712,1,13,1,1,35.55375
1,-0.23134302935060172,8,0,2,0.047801883,1,5,1,0,8.05
1,-0.9339837455749419,7,0,1,0.076002991,1,13,1,1,55.3375
1,-1.4471106587331164,2,0,1,0.056394771,0,12,1,1,25.704
1,0.16089784342369334,7,0,1,0.027114238,0,14,0,1,4.3452
1,-0.8258888636053551,1,2,0,0.12332588,1,13,1,0,31.6825
1,0.1465493614724601,2,0,1,0.174450933,0,10,1,1,12.92005
0,-1.5093428422082555,0,0,0,0.02316823,0,14,0,0,4.998
1,-0.5682941198791153,1,2,0,0.162107603,1,13,1,0,51.5375
2,0.8118686752334966,3,1,0,0.136984147,1,13,1,1,32.7275
1,0.6021992042960095,8,0,2,0.024651269,1,9,2,0,0.0
2,1.1796624464884744,3,1,0,0.026192765,1,13,1,1,46.550000000000004
3,-1.2628987908296758,5,1,0,0.098663652,1,4,1,0,7.176
1,0.4967968611726316,7,0,1,0.031598706,0,0,1,1,17.639999999999997
2,-0.6784931474078532,3,1,0,0.031573246,1,3,1,1,10.920000000000002
1,-0.4474912220249287,9,1,2,0.052493162,1,5,1,0,8.35
3,0.6277399498597489,5,1,0,0.04016342,1,13,1,0,27.47875
1,-0.717835552900615,7,0,1,0.01806055,0,8,2,1,0.0
3,-0.5703982654382665,5,1,0,0.086837543,1,5,1,0,3.3824999999999994
2,-1.6333435296660157,3,1,0,0.012689327,0,8,2,1,0.0
1,1.477776382281591,2,0,1,0.102407778,1,3,1,1,3.692
1,1.3984200354793173,2,0,1,0.085617517,1,13,1,1,50.5875
2,1.909401231813494,3,1,0,0.069902438,0,15,1,1,11.520000000000001
1,-1.6668787492386883,7,0,1,0.075889215,0,8,2,1,0.0
1,0.3695568128464519,9,1,2,0.021757269,0,1,1,0,30.375
1,-0.6683945278397687,1,2,0,0.047059016,0,11,2,0,0.0
2,0.5329830483266663,3,1,0,0.123151947,0,7,0,1,11.525
3,0.7400015516827914,5,1,0,0.025616191,1,13,1,0,35.245
1,-0.5560497834870334,1,2,0,0.023866079,0,14,0,0,4.37325
1,1.0551149370085033,9,1,2,0.010381661,1,9,2,0,0.0
1,-0.6752953578042798,2,0,1,0.184440421,1,6,1,1,5.84025
2,1.0274284746207663,3,1,0,0.123338082,0,15,1,1,6.6915
1,-1.2549043168207428,6,0,1,0.159165324,1,6,1,1,11.2125
0,0.7921766868546928,0,0,0,0.138171603,1,4,1,0,4.968000000000001
0,0.398800598771129,0,0,0,0.020993364,1,9,2,0,0.0
1,-1.0143090226270983,8,0,2,0.092913784,1,4,0,0,9.522
1,0.04169384037129326,8,0,2,0.159720671,1,13,1,0,78.375
1,1.8578144899286502,7,0,1,0.081485126,1,6,1,1,10.887500000000001
2,-0.8131392764559086,3,1,0,0.011419301,1,5,1,1,3.0575
1,0.317423248939397,9,1,2,0.137410256,0,7,0,0,47.125
1,-0.9637743535218302,8,0,2,0.17130175620000002,0,10,1,0,29.1005
1,0.3184337504541261,1,2,0,0.015863075,1,13,1,0,37.73875
1,-1.5055982305824713,1,2,0,0.065576228,1,5,1,0,6.825
1,-1.6557280568910284,7,0,1,0.071992202,0,7,0,1,20.9125
0,1.2110519492371494,4,0,2,0.0708009757993644,1,13,1,0,52.725
1,-0.13713294983973032,2,0,1,0.055671582,0,0,1,1,26.39
1,-1.471010938230223,8,0,2,0.03749705,0,0,1,0,9.52
2,-0.22284330458430407,3,1,0,0.039428167,1,9,2,1,0.0
1,1.5016766617786976,6,0,1,0.011285795,1,9,2,1,0.0
1,1.8258781651577647,1,2,0,0.041789718,1,9,2,0,0.0
1,1.7401678104131906,1,2,0,0.010003987,1,13,1,0,37.54875
1,-0.37246788013549637,2,0,1,0.0931174,0,1,1,1,11.9625
3,-0.39901912721396515,5,1,0,0.008519718,0,8,2,0,0.0
2,0.5830124666745696,3,1,0,0.017979145,0,15,1,1,16.2
1,-0.8881626183453406,1,2,0,0.020698674,0,1,1,0,32.875
0,-0.5789811327342572,4,0,2,0.159394437,0,11,2,0,0.0
1,-0.9621754587200436,2,0,1,0.079376029,1,5,1,1,5.8
0,-0.38782686360145896,0,0,0,0.162462044,0,8,2,0,0.0
1,1.849273193897506,1,2,0,0.0785744454,1,6,1,0,5.232500000000001
2,0.8507058299688938,3,1,0,0.024503972,1,6,1,1,9.1975
3,0.3323185529128413,5,1,0,0.091042211,1,9,2,0,0.0
0,-0.49482810152662354,0,0,0,0.064441812,1,6,1,0,8.0275
1,0.17844411497849968,7,0,1,0.020618957,0,14,0,1,4.4803500000000005
1,-1.6381817853362217,9,1,2,0.134532392,1,3,1,0,6.48
1,-0.17016291865503838,1,2,0,0.048486801,0,0,1,0,7.650999999999999
1,0.032058900295727125,8,0,2,0.038528228,1,13,1,0,79.325
2,0.45846495719459895,3,1,0,0.086281593,1,13,1,1,52.9625
1,-1.523691324159489,6,0,1,0.151925271,0,14,0,1,3.1161000000000003
1,0.8719967131494847,1,2,0,0.0680243,1,6,1,0,10.627500000000001
1,0.15079922385560915,7,0,1,0.07955172099999999,0,0,1,1,8.588999999999999
1,-0.40065959328059836,8,0,2,0.054056927,1,13,1,0,96.66250000000001
1,1.6167139449776415,9,1,2,0.18293775,0,11,2,0,0.0
0,0.7996659101062613,4,0,2,0.019716846,1,3,1,0,6.284000000000001
3,-1.0371988006094757,5,1,0,0.026769592,1,9,2,0,0.0
1,0.6436457553479222,9,1,2,0.175469888,0,8,2,0,0.0
1,-0.31600131131559994,9,1,2,0.005557062,1,5,1,0,3.965
0,-0.695534168205295,0,0,0,0.164724567,0,10,1,0,15.444
1,-0.3814728556591588,8,0,2,0.12152072,1,5,1,0,10.35
3,0.7586830385468667,5,1,0,0.01612717,1,3,1,0,15.76
1,0.15450226421654675,6,0,1,0.046079558,0,8,2,1,0.0
0,0.08743182507120158,0,0,0,0.082551042,1,6,1,0,11.83
1,-1.713205127225654,6,0,1,0.076705948,1,13,1,1,56.050000000000004
2,0.5063902299833513,3,1,0,0.140811559,0,12,1,1,10.944600000000001
0,-0.5667367963421752,0,0,0,0.130657442,0,10,1,0,13.14885
3,-0.3149492385360244,5,1,0,0.05357685,0,0,1,0,20.79
1,-1.428470743133888,6,0,1,0.031261583,1,3,1,1,11.200000000000001
1,-0.8318207633199836,8,0,2,0.064618976,0,15,1,0,11.07
1,-0.838133199997437,2,0,1,0.038167453,1,13,1,1,62.4625
1,-0.14992410825402305,6,0,1,0.033938279,0,11,2,1,0.0
2,0.602157633031163,3,1,0,0.018096488,1,5,1,1,9.875
3,1.1993544348672784,5,1,0,0.068765925,0,1,1,0,39.625
2,-0.32984454250946865,3,1,0,0.036287517,1,6,1,1,13.325000000000001
2,0.3929518415861934,3,1,0,0.030060895,1,13,1,1,84.075
3,-1.3124229584202147,5,1,0,0.111554381,1,13,1,0,49.37625
1,-1.6828676972565546,2,0,1,0.062640143,0,15,1,1,10.935
1,-0.25318073455340334,9,1,2,0.093801337,1,13,1,0,56.050000000000004
1,-0.8541221480153033,1,2,0,0.065153295,1,6,1,0,9.295
1,-1.539680272177355,2,0,1,0.152813518,0,14,0,1,3.1161000000000003
1,0.8220088660664278,8,0,2,0.021860985,1,5,1,0,6.15
1,1.4181535951229676,6,0,1,0.035404052,0,0,1,1,17.71
1,-0.4277992336461246,1,2,0,0.056030907,1,9,2,0,0.0
1,-1.6264426997015047,7,0,1,0.107258822,1,5,1,1,8.625
2,1.7492143572016994,3,1,0,0.093160853,1,9,2,1,0.0
1,0.6388490709425626,9,1,2,0.04710181,0,10,1,0,7.586149999999999
1,-0.8839543272270383,9,1,2,0.026651184,1,13,1,0,72.4375
0,-1.2926893987765644,0,0,0,0.075000682,1,9,2,0,0.0
1,0.684628626907317,1,2,0,0.067446626,0,0,1,0,24.849999999999998
0,0.29394507766996214,4,0,2,0.160178832,1,9,2,0,0.0
1,0.7602819333486531,2,0,1,0.029538509,0,1,1,1,14.850000000000001
1,1.1424241865548639,9,1,2,0.094807042,0,10,1,0,8.80165
3,0.40258678166176,5,1,0,0.010928678,1,13,1,0,49.875
1,0.34557339081965255,1,2,0,0.021705417,0,1,1,0,30.375
3,0.5010467235557802,5,1,0,0.176411579,1,9,2,0,0.0
1,0.5388318055116018,8,0,2,0.10377827,1,6,1,0,9.879999999999999
1,1.558143230598594,2,0,1,0.038744606,1,13,1,1,63.4125
0,-0.3117098776676046,4,0,2,0.126585095,1,5,1,0,6.425
1,1.1125920073431288,9,1,2,0.184454044,1,3,1,0,10.920000000000002
1,-0.7119867957156794,1,2,0,0.121153331,1,13,1,0,95.95
3,-1.0819262837946546,5,1,0,0.009364957,0,0,1,0,17.22
1,0.15770005382012028,9,1,2,0.027101431,0,14,0,0,4.3452
0,-0.5294569651437181,0,0,0,0.1422157,1,13,1,0,33.4875
3,0.38184272050338014,5,1,0,0.039734882,0,14,0,0,9.868500000000001
1,0.3924881620936753,1,2,0,0.037155206,0,14,0,0,8.7975
1,0.22906192661346098,8,0,2,0.058091269,0,10,1,0,25.168
1,1.7252725064397465,9,1,2,0.016047301,1,4,1,0,4.2780000000000005
1,-1.5280243290723303,6,0,1,0.025963795,1,9,2,1,0.0
3,-1.1894327724771838,5,1,0,0.073012871,0,11,2,0,0.0
1,0.8289512672957854,8,0,2,0.082549896,1,4,1,0,4.968000000000001
0,-0.6300210525968899,4,0,2,0.009585169,1,5,1,0,4.445
1,-0.5454043418967379,2,0,1,0.123726711,0,10,1,1,18.0895
1,-1.3757487859397757,2,0,1,0.061521569,0,14,0,1,6.171
1,-0.724819525394819,1,2,0,0.034382602,0,0,1,0,20.02
1,-0.5231029572014182,6,0,1,0.03761584,1,6,1,1,12.155
0,-0.1935579473947803,4,0,2,0.0708009757993644,0,1,1,0,11.587499999999999
1,1.6395621516951724,2,0,1,0.036042939,1,5,1,1,3.4325
1,1.814139079523047,8,0,2,0.020951848,0,8,2,0,0.0
1,-1.4364236458779749,6,0,1,0.0471117,1,5,1,1,4.5975
2,0.7384026568810048,3,1,0,0.012499004,1,6,1,1,12.8375
1,-0.37722299327601,1,2,0,0.124348482,1,5,1,0,9.0
2,0.5835592886967811,3,1,0,0.126199917,1,6,1,1,10.075000000000001
1,-0.9456812599448126,6,0,1,0.109971578,1,6,1,1,8.125
1,-0.9318796000157905,7,0,1,0.12780038,1,5,1,1,7.15
0,-0.7061796097955905,0,0,0,0.01478914,1,5,1,0,4.34
0,1.2445871688098222,4,0,2,0.079931185,1,3,1,0,4.724
1,-1.5029888342659554,6,0,1,0.00721395,0,0,1,1,9.925999999999998
1,-0.5123743730814299,1,2,0,0.083768522,0,7,0,0,15.962499999999999
1,-1.6605247412963882,9,1,2,0.071958197,0,7,0,0,20.9125
1,0.2045316825644506,1,2,0,0.019362306,0,14,0,0,8.262
3,-1.694606782891272,5,1,0,0.142589751,1,9,2,0,0.0
1,0.33972463363471694,6,0,1,0.053765212,1,6,1,1,7.215
1,-0.9052036391427825,1,2,0,0.058226609,1,5,1,0,9.625
1,-0.4166485412984646,1,2,0,0.041330512,1,6,1,0,12.8375
1,-0.5305506091881401,8,0,2,0.140008554,1,3,1,0,5.508
1,0.18058983180249766,2,0,1,0.024961677,0,14,0,1,9.1035
2,-0.7183823749228259,3,1,0,0.121748174,1,13,1,1,95.95
1,0.6399842862518311,2,0,1,0.063689583,1,4,1,1,7.406000000000001
0,0.7719794477185239,0,0,0,0.0708009757993644,1,9,2,0,0.0
1,0.31418388807097747,1,2,0,0.010031539,1,13,1,0,83.60000000000001
2,-0.7604588905266428,3,1,0,0.114581955,1,4,1,1,9.522
1,-0.6736964630024933,6,0,1,0.059341019,1,13,1,1,36.86
0,0.22106745260452784,4,0,2,0.0708009757993644,0,10,1,0,8.3798
0,0.6932114942033075,0,0,0,0.016735879,0,10,1,0,30.3875
1,1.207390480141058,2,0,1,0.01319424,1,9,2,1,0.0
0,0.603798099097796,4,0,2,0.031069203,1,3,1,0,9.28
1,0.3860925828865292,1,2,0,0.06100886,0,2,1,0,27.5275
1,1.1940109284397078,7,0,1,0.021250528,1,3,1,1,12.16
